time,G(i),H_sun,T2m,WS10m,Int
20130101:0009,0.0,0.0,8.2,4.68,0.0
20130101:0109,0.0,0.0,8.41,4.43,0.0
20130101:0209,0.0,0.0,8.62,4.19,0.0
20130101:0309,0.0,0.0,8.83,3.94,0.0
20130101:0409,0.0,0.0,8.71,4.09,0.0
20130101:0509,0.0,0.0,8.6,4.23,0.0
20130101:0609,23.0,4.07,8.49,4.37,0.0
20130101:0709,202.01,13.3,9.54,4.78,0.0
20130101:0809,341.01,20.93,10.58,5.18,0.0
20130101:0909,382.01,26.33,11.63,5.59,0.0
20130101:1009,261.0,28.9,12.11,5.32,0.0
20130101:1109,218.0,28.27,12.58,5.05,0.0
20130101:1209,156.0,24.55,13.06,4.79,0.0
20130101:1309,98.0,18.21,12.8,4.18,0.0
20130101:1409,54.0,9.9,12.53,3.57,0.0
20130101:1509,0.0,0.19,12.27,2.97,1.0
20130101:1609,0.0,0.0,11.66,2.86,0.0
20130101:1709,0.0,0.0,11.06,2.76,0.0
20130101:1809,0.0,0.0,10.46,2.66,0.0
20130101:1909,0.0,0.0,10.42,2.79,0.0
20130101:2009,0.0,0.0,10.39,2.92,0.0
20130101:2109,0.0,0.0,10.35,3.05,0.0
20130101:2209,0.0,0.0,10.25,2.95,0.0
20130101:2309,0.0,0.0,10.15,2.85,0.0
20130102:0009,0.0,0.0,10.05,2.74,0.0
20130102:0109,0.0,0.0,10.11,2.53,0.0
20130102:0209,0.0,0.0,10.17,2.32,0.0
20130102:0309,0.0,0.0,10.23,2.11,0.0
20130102:0409,0.0,0.0,10.21,2.21,0.0
20130102:0509,0.0,0.0,10.19,2.31,0.0
20130102:0609,23.0,4.06,10.17,2.41,0.0
20130102:0709,196.01,13.31,10.96,1.75,0.0
20130102:0809,318.01,20.95,11.76,1.08,0.0
20130102:0909,424.01,26.38,12.55,0.41,0.0
20130102:1009,470.01,28.98,12.9,0.68,0.0
20130102:1109,467.01,28.37,13.24,0.94,0.0
20130102:1209,402.01,24.67,13.59,1.2,0.0
20130102:1309,289.01,18.34,13.56,1.39,0.0
20130102:1409,99.0,10.03,13.54,1.59,0.0
20130102:1509,0.0,0.32,13.51,1.78,1.0
20130102:1609,0.0,0.0,12.99,1.54,0.0
20130102:1709,0.0,0.0,12.48,1.29,0.0
20130102:1809,0.0,0.0,11.97,1.05,0.0
20130102:1909,0.0,0.0,11.71,0.91,0.0
20130102:2009,0.0,0.0,11.46,0.77,0.0
20130102:2109,0.0,0.0,11.2,0.63,0.0
20130102:2209,0.0,0.0,11.08,0.97,0.0
20130102:2309,0.0,0.0,10.95,1.31,0.0
20130103:0009,0.0,0.0,10.83,1.64,0.0
20130103:0109,0.0,0.0,10.32,1.94,0.0
20130103:0209,0.0,0.0,9.81,2.23,0.0
20130103:0309,0.0,0.0,9.3,2.52,0.0
20130103:0409,0.0,0.0,8.77,2.67,0.0
20130103:0509,0.0,0.0,8.24,2.82,0.0
20130103:0609,23.0,4.05,7.72,2.97,0.0
20130103:0709,185.01,13.32,8.99,2.81,0.0
20130103:0809,205.0,20.98,10.27,2.65,0.0
20130103:0909,452.01,26.44,11.54,2.5,0.0
20130103:1009,422.01,29.06,12.07,2.54,0.0
20130103:1109,288.0,28.48,12.61,2.58,0.0
20130103:1209,395.01,24.79,13.14,2.62,0.0
20130103:1309,275.01,18.47,12.48,2.51,0.0
20130103:1409,62.0,10.17,11.82,2.4,0.0
20130103:1509,0.0,0.46,11.16,2.29,1.0
20130103:1609,0.0,0.0,10.94,2.4,0.0
20130103:1709,0.0,0.0,10.72,2.5,0.0
20130103:1809,0.0,0.0,10.5,2.61,0.0
20130103:1909,0.0,0.0,10.01,2.57,0.0
20130103:2009,0.0,0.0,9.53,2.54,0.0
20130103:2109,0.0,0.0,9.05,2.51,0.0
20130103:2209,0.0,0.0,8.69,2.83,0.0
20130103:2309,0.0,0.0,8.33,3.15,0.0
20130104:0009,0.0,0.0,7.98,3.48,0.0
20130104:0109,0.0,0.0,7.59,3.46,0.0
20130104:0209,0.0,0.0,7.2,3.45,0.0
20130104:0309,0.0,0.0,6.81,3.43,0.0
20130104:0409,0.0,0.0,6.53,3.26,0.0
20130104:0509,0.0,0.0,6.25,3.09,0.0
20130104:0609,24.0,4.05,5.97,2.91,0.0
20130104:0709,201.01,13.33,7.63,2.6,0.0
20130104:0809,323.01,21.02,9.29,2.29,0.0
20130104:0909,451.01,26.5,10.95,1.99,0.0
20130104:1009,500.01,29.15,11.61,1.73,0.0
20130104:1109,481.01,28.6,12.27,1.47,0.0
20130104:1209,413.01,24.92,12.93,1.21,0.0
20130104:1309,295.01,18.61,12.87,1.52,0.0
20130104:1409,105.0,10.31,12.81,1.82,0.0
20130104:1509,0.0,0.6,12.75,2.12,1.0
20130104:1609,0.0,0.0,12.21,2.06,0.0
20130104:1709,0.0,0.0,11.68,1.99,0.0
20130104:1809,0.0,0.0,11.15,1.92,0.0
20130104:1909,0.0,0.0,10.55,1.89,0.0
20130104:2009,0.0,0.0,9.96,1.87,0.0
20130104:2109,0.0,0.0,9.36,1.85,0.0
20130104:2209,0.0,0.0,9.14,2.37,0.0
20130104:2309,0.0,0.0,8.91,2.89,0.0
20130105:0009,0.0,0.0,8.69,3.41,0.0
20130105:0109,0.0,0.0,8.64,3.47,0.0
